condition,seed,max_rotation_deg,test_acc,test_macro_f1,best_val_acc
rot05,21,5.0,0.6109765940274415,0.6003398259773742,0.6735294117647059
rot05,22,5.0,0.6085552865213882,0.6016158369043452,0.6911764705882353
rot05,23,5.0,0.6053268765133172,0.5962754898849961,0.6588235294117647
rot05,24,5.0,0.6085552865213882,0.5963797945492937,0.6794117647058824
rot05,25,5.0,0.6053268765133172,0.5997479604480662,0.6941176470588235
rot05,26,5.0,0.5899919289749799,0.5781441758637244,0.6735294117647059
rot05,27,5.0,0.6045197740112994,0.5975230100546457,0.6882352941176471
rot05,28,5.0,0.5972558514931396,0.5904607921985635,0.6764705882352942
rot05,29,5.0,0.5988700564971752,0.5894770264127108,0.6794117647058824
rot05,30,5.0,0.5988700564971752,0.5903134666584603,0.6735294117647059
rot05,31,5.0,0.606133979015335,0.5966370610892462,0.6882352941176471
rot05,32,5.0,0.6029055690072639,0.5924594555247197,0.7029411764705882
rot05,33,5.0,0.5980629539951574,0.5868714101253445,0.6823529411764706
rot05,34,5.0,0.58272800645682,0.5793851572536858,0.6705882352941176
rot05,35,5.0,0.6085552865213882,0.5996559354960421,0.6705882352941176
rot05,36,5.0,0.6029055690072639,0.5925078052431535,0.6794117647058824
rot05,37,5.0,0.612590799031477,0.602528772593273,0.6794117647058824
rot05,38,5.0,0.6085552865213882,0.5987703857894396,0.6882352941176471
rot05,39,5.0,0.6037126715092817,0.5899947233436603,0.6588235294117647
rot05,40,5.0,0.6117836965294592,0.6040330161328935,0.6882352941176471
rot05,41,5.0,0.5891848264729621,0.5836174024345567,0.6970588235294117
rot05,42,5.0,0.6109765940274415,0.6036333983015383,0.7088235294117647
rot05,43,5.0,0.612590799031477,0.6034551933137527,0.6676470588235294
rot05,44,5.0,0.6101694915254238,0.5991259937308964,0.6617647058823529
rot05,45,5.0,0.5940274414850686,0.5851423628206607,0.6558823529411765
rot10,1,10.0,0.609362389023406,0.598940244535497,0.7
rot10,2,10.0,0.612590799031477,0.6021892907210682,0.6823529411764706
rot10,3,10.0,0.6117836965294592,0.6041658230314265,0.6764705882352942
rot10,4,10.0,0.5988700564971752,0.5881236554916388,0.6852941176470588
rot10,5,10.0,0.6246973365617433,0.616457427466283,0.7147058823529412
rot10,6,10.0,0.6182405165456013,0.6098580872630329,0.6794117647058824
rot10,7,10.0,0.6085552865213882,0.6015493721046969,0.6794117647058824
rot10,8,10.0,0.615819209039548,0.6072128972710682,0.7
rot10,9,10.0,0.615819209039548,0.6034905286157755,0.6882352941176471
rot10,10,10.0,0.6182405165456013,0.6123814161166719,0.6882352941176471
rot10,11,10.0,0.6190476190476191,0.6046303508384399,0.6852941176470588
rot10,12,10.0,0.6053268765133172,0.5988417579857938,0.6941176470588235
rot10,13,10.0,0.615819209039548,0.6084959972463404,0.6823529411764706
rot10,14,10.0,0.6077481840193705,0.5959982717923421,0.6617647058823529
rot10,15,10.0,0.6222760290556901,0.6141564551283573,0.6705882352941176
rot10,16,10.0,0.6166263115415658,0.6082893832032751,0.6882352941176471
rot10,17,10.0,0.6117836965294592,0.5996961145578672,0.6705882352941176
rot10,18,10.0,0.6004842615012107,0.5916080189362002,0.6735294117647059
